x,y,z,sigma_11,sigma_22,sigma_12,vonMises
-0.48240058283853254,-0.4912515276280228,0.008870029388832029,140.63038528478455,13.031323040969312,58.632427313797926,168.60428601802042
-0.46217153186154386,-0.47293038901595913,0.010398149755053258,106.80486819456462,7.54234396088691,59.079066437950814,145.36029734216103
-0.46268031547150007,-0.49012058049871193,0.0280706386627537,104.82177790209902,-5.7870908197874655,46.36295719643505,134.44805722404428
-0.43964239443320186,-0.45798194499403216,0.017131864041747966,82.14874282357272,-11.299169880328463,54.78230325451729,129.64413614856116
-0.4414198073414207,-0.4843964578917107,0.045320593394018095,79.25656352106049,-22.043498882988075,33.00191555543158,108.5448753493304
-0.4189468296940698,-0.4404367695807792,0.016352033668537613,62.064513271762515,-21.8436539802762,49.52450804520372,114.20549667416103
-0.4246702545423885,-0.4852249924182502,0.06779376297756294,69.21669923597203,-30.22707386153826,16.50149548543203,92.81025690826799
-0.4027739759988703,-0.44426196530035184,0.039894732324390086,61.71541334441227,-34.83542777799957,36.72668659709116,105.91850934704196
-0.4068375717981498,-0.4647518372253404,0.06750215205356205,67.05888211637703,-33.59923321109578,14.220990257640391,92.11752739787902
-0.39475206817541697,-0.4211680011087384,0.013342067850387437,42.28704903474325,-27.958269519995625,46.486600652743604,101.16888941508206
-0.40796832891887486,-0.48686707575957205,0.09613949725183708,64.63124976548542,-25.110269102884928,-16.657971661426426,85.22380063311904
-0.3822719194900632,-0.43499492384386806,0.053555667078579935,62.25388082043179,-43.77583107106514,25.75611283572902,102.50471442182948
-0.3696853818243816,-0.4074600483825104,0.014005370587000616,32.000329356065045,-28.740156316352042,42.307472874495645,90.21906070743367
-0.39462746369362367,-0.48573608341450386,0.12159139134773898,71.67919126325843,-14.808382058849645,-36.972625001798605,102.56496715654035
-0.38515321894951743,-0.45162943264646926,0.08226386508216212,72.880971629978,-46.79853101132343,5.095494350837587,104.83488507909293
-0.36562950459782567,-0.4162986734841758,0.03817698227304795,49.83502534594321,-36.202813591114975,31.86030421037369,92.97084784589285
-0.36192873946525894,-0.4236749335651943,0.06311650885702742,68.2324927543683,-45.76323998749149,19.0205682557184,104.67966943395417
-0.3803767174355194,-0.4605177589240941,0.11357812818202644,86.86023976631195,-42.801604242917676,-16.135443657130764,117.79428598615681
-0.34082088745883765,-0.39374313331858646,0.012136078042042737,22.419315756823906,-20.908310832808823,31.90907945934122,66.80644623998302
-0.3852892158177781,-0.4877796130573239,0.1513352845929327,90.67120050417644,-2.2072230335728307,-62.27976813346355,141.64243203537902
-0.34114943733144,-0.4020437680963714,0.03636522595901057,45.224239715772065,-30.438557171681595,24.991703449066307,78.87999715108974
-0.3629324511224752,-0.4328203071950393,0.08855716626856022,82.89696696549183,-51.7813705376586,7.897597358391749,118.46034003762672
-0.374364993268236,-0.4636657167551721,0.14358471440297899,111.1357296557721,-38.204202705419505,-30.260531297250015,144.23474864690897
-0.3117174529798747,-0.38448581641679247,0.01188906754252279,19.080072098791995,-5.673123190639515,17.95770275302913,38.36553586270435
-0.3410630658220998,-0.4091324550678239,0.06240682526087296,67.07681552524737,-40.60195887177228,17.510745739997468,98.95022485851774
-0.37479378257404145,-0.4746474268187,0.17126786004821815,130.922307833132,-26.16337163388087,-43.945705690334464,164.45125978378522
-0.3606437630136885,-0.43793210169869135,0.11739981591620188,100.04508071575374,-54.448431286779936,2.491753878214247,135.7923932336187
-0.3153675533151869,-0.39072029261238195,0.03552689211127786,41.397751121464225,-18.209339438191307,15.084625483761542,59.00692604088535
-0.3756903729817776,-0.483527915156686,0.19612608718632432,138.43645297696537,-8.710347130005147,-55.8841907969043,172.67159454849295
-0.34162439818384455,-0.414892269769339,0.08886693729483479,83.8255809890042,-49.00967499363628,13.62673170558054,118.71817132384331
-0.3592840721501507,-0.44151661625806365,0.14865762616967432,123.53299836221787,-51.917820652065274,5.499156864329869,156.39740412761574
-0.31865977216459046,-0.3959720729961079,0.06072282903787355,62.191827532212734,-30.42042720602113,12.23396018589927,84.46382131384377
-0.28085661081152025,-0.3781466888899996,0.013281632861237845,20.646472260975862,13.136981000679313,-2.6502309365648458,18.673402069878396
-0.340720004234724,-0.4173263654453058,0.11634144173039708,98.9297591452603,-53.827145829042635,16.20125832872727,137.10217999465468
-0.3617756707959824,-0.4472748065793213,0.18041926528753255,145.58905149673387,-41.13097767992028,21.312142386558477,173.89298866685937
-0.2888911356642612,-0.38206355668152214,0.036036929835915034,39.00095927281974,0.2031720077727428,-1.6718067062715036,39.00739689922628
